id,name
1,Rogers Park
2,West Ridge
3,Uptown
4,Lincoln Square
5,Edison Park
6,Norwood Park
7,Jefferson Park
8,Forest Glen
9,North Park
10,Albany Park
11,O'Hare
12,Edgewater
13,North Center
14,Lake View
15,Lincoln Park
16,Avondale
17,Logan Square
18,Portage Park
19,Irving Park
20,Dunning
21,Montclare
22,Belmont Cragin
23,Hermosa
24,Near North Side
25,The Loop
26,Near South Side
27,Humboldt Park
28,West Town
29,Austin
30,West Garfield Park
31,East Garfield Park
32,Near West Side
33,North Lawndale
34,South Lawndale
35,Lower West Side
36,Garfield Ridge
37,Archer Heights
38,Brighton Park
39,McKinley Park
40,New City
41,West Elsdon
42,Gage Park
43,Clearing
44,West Lawn
45,Chicago Lawn
46,West Englewood
47,Englewood
48,Armour Square
49,Douglas
50,Oakland
51,Fuller Park
52,Grand Boulevard
53,Kenwood
54,Washington Park
55,Hyde Park
56,Woodlawn
57,South Shore
58,Bridgeport
59,Greater Grand Crossing
60,Ashburn
61,Auburn Gresham
62,Beverly
63,Washington Heights
64,Mount Greenwood
65,Morgan Park
66,Chatham
67,Avalon Park
68,South Chicago
69,Burnside
70,Calumet Heights
71,Roseland
72,Pullman
73,South Deering
74,East Side
75,West Pullman
76,Riverdale
77,Hegewisch